iso,year,rank_eci,name
KAZ,2003,64,Kazakhstan
SYR,2003,92,Syria
AUS,2003,54,Australia
KHM,2003,102,Cambodia
ALB,2003,52,Albania
ZMB,2003,104,Zambia
KGZ,2003,77,Kyrgyzstan
UZB,2003,85,Uzbekistan
KEN,2003,84,Kenya
CMR,2003,109,Cameroon
TTO,2003,56,Trinidad and Tobago
PAK,2003,97,Pakistan
QAT,2003,58,Qatar
PER,2003,82,Peru
NAM,2003,50,Namibia
BWA,2003,65,Botswana
ZWE,2003,69,Zimbabwe
NIC,2003,95,Nicaragua
UGA,2003,106,Uganda
CIV,2003,93,Ivory Coast
IRN,2003,100,Iran
BGD,2003,116,Bangladesh
MDG,2003,110,Madagascar
TZA,2003,115,Tanzania
TKM,2003,114,Turkmenistan
ECU,2003,96,Ecuador
VEN,2003,59,Venezuela
TJK,2003,98,Tajikistan
MOZ,2003,108,Mozambique
BOL,2003,80,Bolivia
LAO,2003,112,Laos
GAB,2003,107,Gabon
AZE,2003,83,Azerbaijan
ETH,2003,111,Ethiopia
DZA,2003,94,Algeria
GHA,2003,103,Ghana
MNG,2003,101,Mongolia
MWI,2003,121,Malawi
PNG,2003,117,Papua New Guinea
COG,2003,113,Republic of the Congo
MLI,2003,105,Mali
LBY,2003,81,Libya
MRT,2003,90,Mauritania
YEM,2003,119,Yemen
GIN,2003,122,Guinea
NGA,2003,118,Nigeria
AGO,2003,120,Angola
JPN,2004,1,Japan
DEU,2004,2,Germany
CHE,2004,4,Switzerland
KOR,2004,15,South Korea
SWE,2004,3,Sweden
AUT,2004,6,Austria
CZE,2004,10,Czech Republic
FIN,2004,5,Finland
HUN,2004,18,Hungary
GBR,2004,7,United Kingdom
SVN,2004,9,Slovenia
SVK,2004,16,Slovakia
USA,2004,8,United States
ITA,2004,14,Italy
IRL,2004,11,Ireland
FRA,2004,12,France
CHN,2004,33,China
DNK,2004,13,Denmark
BEL,2004,17,Belgium
MEX,2004,21,Mexico
ISR,2004,24,Israel
NLD,2004,19,Netherlands
EST,2004,31,Estonia
THA,2004,37,Thailand
POL,2004,23,Poland
MYS,2004,26,Malaysia
ROU,2004,38,Romania
ESP,2004,20,Spain
BLR,2004,22,Belarus
HRV,2004,28,Croatia
NOR,2004,25,Norway
LTU,2004,40,Lithuania
LVA,2004,34,Latvia
PRT,2004,32,Portugal
BIH,2004,36,Bosnia and Herzegovina
BGR,2004,42,Bulgaria
CAN,2004,27,Canada
PHL,2004,67,Philippines
TUR,2004,46,Turkey
UKR,2004,30,Ukraine
IND,2004,47,India
GRC,2004,44,Greece
TUN,2004,66,Tunisia
JOR,2004,50,Jordan
NZL,2004,43,New Zealand
RUS,2004,29,Russia
URY,2004,49,Uruguay
SLV,2004,63,El Salvador
CRI,2004,57,Costa Rica
BRA,2004,41,Brazil
ZAF,2004,45,South Africa
IDN,2004,60,Indonesia
LBN,2004,48,Lebanon
VNM,2004,91,Vietnam
MDA,2004,56,Moldova
MUS,2004,64,Mauritius
EGY,2004,72,Egypt
GEO,2004,53,Georgia
COL,2004,54,Colombia
ARG,2004,52,Argentina
DOM,2004,70,Dominican Republic
ARE,2004,69,United Arab Emirates
MKD,2004,68,Macedonia
JAM,2004,74,Jamaica
CHL,2004,61,Chile
GTM,2004,76,Guatemala
LKA,2004,90,Sri Lanka
OMN,2004,73,Oman
KWT,2004,51,Kuwait
SAU,2004,39,Saudi Arabia
HND,2004,92,Honduras
SEN,2004,71,Senegal
PRY,2004,85,Paraguay
MAR,2004,84,Morocco
CUB,2004,77,Cuba
KAZ,2004,65,Kazakhstan
SYR,2004,81,Syria
AUS,2004,58,Australia
KHM,2004,115,Cambodia
ALB,2004,62,Albania
ZMB,2004,102,Zambia
KGZ,2004,78,Kyrgyzstan
UZB,2004,87,Uzbekistan
KEN,2004,82,Kenya
CMR,2004,117,Cameroon
TTO,2004,55,Trinidad and Tobago
PAK,2004,99,Pakistan
QAT,2004,35,Qatar
PER,2004,86,Peru
NAM,2004,75,Namibia
BWA,2004,97,Botswana
ZWE,2004,79,Zimbabwe
NIC,2004,103,Nicaragua
UGA,2004,101,Uganda
CIV,2004,98,Ivory Coast
IRN,2004,95,Iran
BGD,2004,116,Bangladesh
MDG,2004,114,Madagascar
TZA,2004,110,Tanzania
TKM,2004,105,Turkmenistan
ECU,2004,106,Ecuador
VEN,2004,59,Venezuela
TJK,2004,100,Tajikistan
MOZ,2004,111,Mozambique
BOL,2004,96,Bolivia
LAO,2004,109,Laos
GAB,2004,83,Gabon
AZE,2004,80,Azerbaijan
ETH,2004,113,Ethiopia
DZA,2004,94,Algeria
GHA,2004,93,Ghana
MNG,2004,108,Mongolia
MWI,2004,118,Malawi
PNG,2004,120,Papua New Guinea
COG,2004,119,Republic of the Congo
MLI,2004,89,Mali
LBY,2004,104,Libya
MRT,2004,121,Mauritania
YEM,2004,112,Yemen
GIN,2004,107,Guinea
NGA,2004,122,Nigeria
AGO,2004,88,Angola
JPN,2005,1,Japan
DEU,2005,2,Germany
CHE,2005,3,Switzerland
KOR,2005,9,South Korea
SWE,2005,4,Sweden
AUT,2005,6,Austria
CZE,2005,10,Czech Republic
FIN,2005,5,Finland
HUN,2005,15,Hungary
GBR,2005,7,United Kingdom
SVN,2005,12,Slovenia
SVK,2005,17,Slovakia
USA,2005,8,United States
ITA,2005,16,Italy
IRL,2005,13,Ireland
FRA,2005,11,France
CHN,2005,37,China
DNK,2005,14,Denmark
BEL,2005,18,Belgium
MEX,2005,19,Mexico
ISR,2005,23,Israel
NLD,2005,20,Netherlands
EST,2005,28,Estonia
THA,2005,39,Thailand
POL,2005,24,Poland
MYS,2005,27,Malaysia
ROU,2005,36,Romania
ESP,2005,22,Spain
BLR,2005,21,Belarus
HRV,2005,26,Croatia
NOR,2005,29,Norway
LTU,2005,33,Lithuania
LVA,2005,31,Latvia
PRT,2005,32,Portugal
BIH,2005,40,Bosnia and Herzegovina
BGR,2005,41,Bulgaria
CAN,2005,25,Canada
PHL,2005,55,Philippines
TUR,2005,43,Turkey
UKR,2005,35,Ukraine
IND,2005,48,India
GRC,2005,46,Greece
TUN,2005,61,Tunisia
JOR,2005,53,Jordan
NZL,2005,42,New Zealand
RUS,2005,34,Russia
URY,2005,47,Uruguay
SLV,2005,73,El Salvador
CRI,2005,58,Costa Rica
BRA,2005,38,Brazil
ZAF,2005,44,South Africa
IDN,2005,59,Indonesia
LBN,2005,45,Lebanon
VNM,2005,88,Vietnam
MDA,2005,56,Moldova
MUS,2005,68,Mauritius
EGY,2005,67,Egypt
GEO,2005,52,Georgia
COL,2005,57,Colombia
ARG,2005,50,Argentina
DOM,2005,69,Dominican Republic
ARE,2005,74,United Arab Emirates
MKD,2005,65,Macedonia
JAM,2005,77,Jamaica
CHL,2005,64,Chile
GTM,2005,79,Guatemala
LKA,2005,82,Sri Lanka
OMN,2005,66,Oman
KWT,2005,49,Kuwait
SAU,2005,51,Saudi Arabia
HND,2005,97,Honduras
SEN,2005,71,Senegal
PRY,2005,87,Paraguay
MAR,2005,81,Morocco
CUB,2005,76,Cuba
KAZ,2005,70,Kazakhstan
SYR,2005,91,Syria
AUS,2005,63,Australia
KHM,2005,113,Cambodia
ALB,2005,72,Albania
ZMB,2005,106,Zambia
KGZ,2005,80,Kyrgyzstan
UZB,2005,85,Uzbekistan
KEN,2005,84,Kenya
CMR,2005,114,Cameroon
TTO,2005,60,Trinidad and Tobago
PAK,2005,92,Pakistan
QAT,2005,62,Qatar
PER,2005,78,Peru
NAM,2005,75,Namibia
BWA,2005,93,Botswana
ZWE,2005,83,Zimbabwe
NIC,2005,101,Nicaragua
UGA,2005,104,Uganda
CIV,2005,98,Ivory Coast
IRN,2005,86,Iran
BGD,2005,110,Bangladesh
MDG,2005,103,Madagascar
TZA,2005,109,Tanzania
TKM,2005,108,Turkmenistan
ECU,2005,102,Ecuador
VEN,2005,54,Venezuela
TJK,2005,95,Tajikistan
MOZ,2005,118,Mozambique
BOL,2005,94,Bolivia
LAO,2005,105,Laos
GAB,2005,112,Gabon
AZE,2005,99,Azerbaijan
ETH,2005,111,Ethiopia
DZA,2005,90,Algeria
GHA,2005,100,Ghana
MNG,2005,96,Mongolia
MWI,2005,116,Malawi
PNG,2005,121,Papua New Guinea
COG,2005,117,Republic of the Congo
MLI,2005,107,Mali
LBY,2005,89,Libya
MRT,2005,119,Mauritania
YEM,2005,115,Yemen
GIN,2005,120,Guinea
NGA,2005,123,Nigeria
AGO,2005,122,Angola
JPN,2006,1,Japan
DEU,2006,2,Germany
CHE,2006,4,Switzerland
KOR,2006,10,South Korea
SWE,2006,3,Sweden
AUT,2006,6,Austria
CZE,2006,8,Czech Republic
FIN,2006,5,Finland
HUN,2006,15,Hungary
GBR,2006,7,United Kingdom
SVN,2006,11,Slovenia
SVK,2006,16,Slovakia
USA,2006,9,United States
ITA,2006,17,Italy
IRL,2006,13,Ireland
FRA,2006,12,France
CHN,2006,34,China
DNK,2006,14,Denmark
BEL,2006,18,Belgium
MEX,2006,19,Mexico
ISR,2006,24,Israel
NLD,2006,20,Netherlands
EST,2006,29,Estonia
THA,2006,39,Thailand
POL,2006,23,Poland
MYS,2006,28,Malaysia
ROU,2006,30,Romania
ESP,2006,22,Spain
BLR,2006,21,Belarus
HRV,2006,27,Croatia
NOR,2006,26,Norway
LTU,2006,32,Lithuania
LVA,2006,33,Latvia
PRT,2006,37,Portugal
BIH,2006,38,Bosnia and Herzegovina
BGR,2006,40,Bulgaria
CAN,2006,25,Canada
PHL,2006,45,Philippines
TUR,2006,43,Turkey
UKR,2006,35,Ukraine
IND,2006,49,India
GRC,2006,47,Greece
TUN,2006,56,Tunisia
JOR,2006,48,Jordan
NZL,2006,42,New Zealand
RUS,2006,31,Russia
URY,2006,51,Uruguay
SLV,2006,66,El Salvador
CRI,2006,55,Costa Rica
BRA,2006,41,Brazil
ZAF,2006,44,South Africa
IDN,2006,54,Indonesia
LBN,2006,46,Lebanon
VNM,2006,80,Vietnam
MDA,2006,57,Moldova
MUS,2006,74,Mauritius
EGY,2006,69,Egypt
GEO,2006,52,Georgia
COL,2006,50,Colombia
ARG,2006,53,Argentina
DOM,2006,65,Dominican Republic
ARE,2006,70,United Arab Emirates
MKD,2006,63,Macedonia
JAM,2006,64,Jamaica
CHL,2006,61,Chile
GTM,2006,68,Guatemala
LKA,2006,84,Sri Lanka
OMN,2006,72,Oman
KWT,2006,82,Kuwait
SAU,2006,60,Saudi Arabia
HND,2006,89,Honduras
SEN,2006,75,Senegal
PRY,2006,85,Paraguay
MAR,2006,81,Morocco
CUB,2006,76,Cuba
KAZ,2006,67,Kazakhstan
SYR,2006,88,Syria
AUS,2006,58,Australia
KHM,2006,109,Cambodia
ALB,2006,79,Albania
ZMB,2006,108,Zambia
KGZ,2006,71,Kyrgyzstan
UZB,2006,87,Uzbekistan
KEN,2006,78,Kenya
CMR,2006,119,Cameroon
TTO,2006,59,Trinidad and Tobago
PAK,2006,92,Pakistan
QAT,2006,62,Qatar
PER,2006,90,Peru
NAM,2006,83,Namibia
BWA,2006,98,Botswana
ZWE,2006,77,Zimbabwe
NIC,2006,97,Nicaragua
UGA,2006,94,Uganda
CIV,2006,106,Ivory Coast
IRN,2006,86,Iran
BGD,2006,113,Bangladesh
MDG,2006,105,Madagascar
TZA,2006,103,Tanzania
TKM,2006,115,Turkmenistan
ECU,2006,95,Ecuador
VEN,2006,73,Venezuela
TJK,2006,112,Tajikistan
MOZ,2006,104,Mozambique
BOL,2006,96,Bolivia
LAO,2006,107,Laos
GAB,2006,100,Gabon
AZE,2006,99,Azerbaijan
ETH,2006,114,Ethiopia
DZA,2006,91,Algeria
GHA,2006,101,Ghana
MNG,2006,102,Mongolia
MWI,2006,110,Malawi
PNG,2006,120,Papua New Guinea
COG,2006,118,Republic of the Congo
MLI,2006,111,Mali
LBY,2006,93,Libya
MRT,2006,121,Mauritania
YEM,2006,116,Yemen
GIN,2006,117,Guinea
NGA,2006,123,Nigeria
AGO,2006,122,Angola
JPN,2007,1,Japan
DEU,2007,2,Germany
CHE,2007,3,Switzerland
KOR,2007,9,South Korea
SWE,2007,4,Sweden
AUT,2007,6,Austria
CZE,2007,8,Czech Republic
FIN,2007,5,Finland
HUN,2007,12,Hungary
GBR,2007,7,United Kingdom
SVN,2007,11,Slovenia
SVK,2007,14,Slovakia
USA,2007,10,United States
ITA,2007,15,Italy
IRL,2007,19,Ireland
FRA,2007,13,France
CHN,2007,30,China
DNK,2007,16,Denmark
BEL,2007,17,Belgium
MEX,2007,18,Mexico
ISR,2007,24,Israel
NLD,2007,22,Netherlands
EST,2007,28,Estonia
THA,2007,33,Thailand
POL,2007,21,Poland
MYS,2007,36,Malaysia
ROU,2007,26,Romania
ESP,2007,23,Spain
BLR,2007,20,Belarus
HRV,2007,25,Croatia
NOR,2007,27,Norway
LTU,2007,35,Lithuania
LVA,2007,31,Latvia
PRT,2007,34,Portugal
BIH,2007,38,Bosnia and Herzegovina
BGR,2007,39,Bulgaria
CAN,2007,32,Canada
PHL,2007,51,Philippines
TUR,2007,43,Turkey
UKR,2007,37,Ukraine
IND,2007,47,India
GRC,2007,46,Greece
TUN,2007,50,Tunisia
JOR,2007,45,Jordan
NZL,2007,44,New Zealand
RUS,2007,42,Russia
URY,2007,52,Uruguay
SLV,2007,63,El Salvador
CRI,2007,55,Costa Rica
BRA,2007,40,Brazil
ZAF,2007,49,South Africa
IDN,2007,56,Indonesia
LBN,2007,41,Lebanon
VNM,2007,74,Vietnam
MDA,2007,48,Moldova
MUS,2007,73,Mauritius
EGY,2007,65,Egypt
GEO,2007,60,Georgia
COL,2007,53,Colombia
ARG,2007,54,Argentina
DOM,2007,57,Dominican Republic
ARE,2007,70,United Arab Emirates
MKD,2007,59,Macedonia
JAM,2007,79,Jamaica
CHL,2007,62,Chile
GTM,2007,66,Guatemala
LKA,2007,80,Sri Lanka
OMN,2007,85,Oman
KWT,2007,61,Kuwait
SAU,2007,69,Saudi Arabia
HND,2007,93,Honduras
SEN,2007,71,Senegal
PRY,2007,84,Paraguay
MAR,2007,83,Morocco
CUB,2007,75,Cuba
KAZ,2007,77,Kazakhstan
SYR,2007,76,Syria
AUS,2007,64,Australia
KHM,2007,104,Cambodia
ALB,2007,67,Albania
ZMB,2007,89,Zambia
KGZ,2007,58,Kyrgyzstan
UZB,2007,81,Uzbekistan
KEN,2007,86,Kenya
CMR,2007,95,Cameroon
TTO,2007,68,Trinidad and Tobago
PAK,2007,92,Pakistan
QAT,2007,72,Qatar
PER,2007,87,Peru
NAM,2007,78,Namibia
BWA,2007,90,Botswana
ZWE,2007,82,Zimbabwe
NIC,2007,100,Nicaragua
UGA,2007,94,Uganda
CIV,2007,107,Ivory Coast
IRN,2007,98,Iran
BGD,2007,105,Bangladesh
MDG,2007,102,Madagascar
TZA,2007,101,Tanzania
TKM,2007,111,Turkmenistan
ECU,2007,99,Ecuador
VEN,2007,91,Venezuela
TJK,2007,108,Tajikistan
MOZ,2007,113,Mozambique
BOL,2007,103,Bolivia
LAO,2007,97,Laos
GAB,2007,88,Gabon
AZE,2007,112,Azerbaijan
ETH,2007,109,Ethiopia
DZA,2007,117,Algeria
GHA,2007,96,Ghana
MNG,2007,106,Mongolia
MWI,2007,114,Malawi
PNG,2007,122,Papua New Guinea
COG,2007,119,Republic of the Congo
MLI,2007,110,Mali
LBY,2007,116,Libya
MRT,2007,121,Mauritania
YEM,2007,115,Yemen
GIN,2007,118,Guinea
NGA,2007,120,Nigeria
AGO,2007,123,Angola
JPN,2008,1,Japan
DEU,2008,2,Germany
CHE,2008,3,Switzerland
KOR,2008,9,South Korea
SWE,2008,4,Sweden
AUT,2008,5,Austria
CZE,2008,8,Czech Republic
FIN,2008,6,Finland
HUN,2008,14,Hungary
GBR,2008,7,United Kingdom
SVN,2008,13,Slovenia
SVK,2008,15,Slovakia
USA,2008,12,United States
ITA,2008,16,Italy
IRL,2008,10,Ireland
FRA,2008,11,France
CHN,2008,25,China
DNK,2008,17,Denmark
BEL,2008,18,Belgium
MEX,2008,19,Mexico
ISR,2008,24,Israel
NLD,2008,22,Netherlands
EST,2008,28,Estonia
THA,2008,29,Thailand
POL,2008,20,Poland
MYS,2008,33,Malaysia
ROU,2008,27,Romania
ESP,2008,23,Spain
BLR,2008,21,Belarus
HRV,2008,26,Croatia
NOR,2008,37,Norway
LTU,2008,31,Lithuania
LVA,2008,35,Latvia
PRT,2008,30,Portugal
BIH,2008,32,Bosnia and Herzegovina
BGR,2008,38,Bulgaria
CAN,2008,36,Canada
PHL,2008,46,Philippines
TUR,2008,40,Turkey
UKR,2008,39,Ukraine
IND,2008,48,India
GRC,2008,45,Greece
TUN,2008,56,Tunisia
JOR,2008,47,Jordan
NZL,2008,44,New Zealand
RUS,2008,43,Russia
URY,2008,53,Uruguay
SLV,2008,57,El Salvador
CRI,2008,55,Costa Rica
BRA,2008,50,Brazil
ZAF,2008,52,South Africa
IDN,2008,62,Indonesia
LBN,2008,42,Lebanon
VNM,2008,66,Vietnam
MDA,2008,51,Moldova
MUS,2008,76,Mauritius
EGY,2008,60,Egypt
GEO,2008,72,Georgia
COL,2008,49,Colombia
ARG,2008,54,Argentina
DOM,2008,64,Dominican Republic
ARE,2008,59,United Arab Emirates
MKD,2008,58,Macedonia
JAM,2008,63,Jamaica
CHL,2008,70,Chile
GTM,2008,68,Guatemala
LKA,2008,71,Sri Lanka
OMN,2008,83,Oman
KWT,2008,99,Kuwait
SAU,2008,100,Saudi Arabia
HND,2008,89,Honduras
SEN,2008,79,Senegal
PRY,2008,82,Paraguay
MAR,2008,84,Morocco
CUB,2008,74,Cuba
KAZ,2008,80,Kazakhstan
SYR,2008,65,Syria
AUS,2008,73,Australia
KHM,2008,96,Cambodia
ALB,2008,41,Albania
ZMB,2008,105,Zambia
KGZ,2008,67,Kyrgyzstan
UZB,2008,85,Uzbekistan
KEN,2008,75,Kenya
CMR,2008,104,Cameroon
TTO,2008,78,Trinidad and Tobago
PAK,2008,86,Pakistan
QAT,2008,91,Qatar
PER,2008,81,Peru
NAM,2008,69,Namibia
BWA,2008,61,Botswana
ZWE,2008,77,Zimbabwe
NIC,2008,88,Nicaragua
UGA,2008,87,Uganda
CIV,2008,109,Ivory Coast
IRN,2008,112,Iran
BGD,2008,101,Bangladesh
MDG,2008,94,Madagascar
TZA,2008,90,Tanzania
TKM,2008,116,Turkmenistan
ECU,2008,93,Ecuador
VEN,2008,98,Venezuela
TJK,2008,108,Tajikistan
MOZ,2008,114,Mozambique
BOL,2008,92,Bolivia
LAO,2008,95,Laos
GAB,2008,97,Gabon
AZE,2008,111,Azerbaijan
ETH,2008,103,Ethiopia
DZA,2008,113,Algeria
GHA,2008,102,Ghana
MNG,2008,110,Mongolia
MWI,2008,106,Malawi
PNG,2008,119,Papua New Guinea
COG,2008,117,Republic of the Congo
MLI,2008,107,Mali
LBY,2008,120,Libya
MRT,2008,122,Mauritania
YEM,2008,115,Yemen
GIN,2008,118,Guinea
NGA,2008,123,Nigeria
AGO,2008,121,Angola
JPN,2009,1,Japan
DEU,2009,2,Germany
CHE,2009,3,Switzerland
KOR,2009,9,South Korea
SWE,2009,4,Sweden
AUT,2009,6,Austria
CZE,2009,7,Czech Republic
FIN,2009,5,Finland
HUN,2009,12,Hungary
GBR,2009,11,United Kingdom
SVN,2009,10,Slovenia
SVK,2009,8,Slovakia
USA,2009,14,United States
ITA,2009,15,Italy
IRL,2009,17,Ireland
FRA,2009,13,France
CHN,2009,28,China
DNK,2009,16,Denmark
BEL,2009,18,Belgium
MEX,2009,24,Mexico
ISR,2009,25,Israel
NLD,2009,22,Netherlands
EST,2009,29,Estonia
THA,2009,33,Thailand
POL,2009,19,Poland
MYS,2009,40,Malaysia
ROU,2009,26,Romania
ESP,2009,21,Spain
BLR,2009,20,Belarus
HRV,2009,23,Croatia
NOR,2009,27,Norway
LTU,2009,36,Lithuania
LVA,2009,31,Latvia
PRT,2009,35,Portugal
BIH,2009,32,Bosnia and Herzegovina
BGR,2009,39,Bulgaria
CAN,2009,30,Canada
PHL,2009,53,Philippines
TUR,2009,42,Turkey
UKR,2009,37,Ukraine
IND,2009,51,India
GRC,2009,46,Greece
TUN,2009,50,Tunisia
JOR,2009,43,Jordan
NZL,2009,52,New Zealand
RUS,2009,45,Russia
URY,2009,49,Uruguay
SLV,2009,62,El Salvador
CRI,2009,58,Costa Rica
BRA,2009,47,Brazil
ZAF,2009,56,South Africa
IDN,2009,78,Indonesia
LBN,2009,41,Lebanon
VNM,2009,72,Vietnam
MDA,2009,48,Moldova
MUS,2009,61,Mauritius
EGY,2009,68,Egypt
GEO,2009,65,Georgia
COL,2009,44,Colombia
ARG,2009,55,Argentina
DOM,2009,76,Dominican Republic
ARE,2009,57,United Arab Emirates
MKD,2009,64,Macedonia
JAM,2009,60,Jamaica
CHL,2009,70,Chile
GTM,2009,81,Guatemala
LKA,2009,82,Sri Lanka
OMN,2009,67,Oman
KWT,2009,77,Kuwait
SAU,2009,59,Saudi Arabia
HND,2009,92,Honduras
SEN,2009,85,Senegal
PRY,2009,84,Paraguay
MAR,2009,83,Morocco
CUB,2009,75,Cuba
KAZ,2009,90,Kazakhstan
SYR,2009,69,Syria
AUS,2009,79,Australia
KHM,2009,101,Cambodia
ALB,2009,38,Albania
ZMB,2009,102,Zambia
KGZ,2009,73,Kyrgyzstan
UZB,2009,86,Uzbekistan
KEN,2009,71,Kenya
CMR,2009,103,Cameroon
TTO,2009,66,Trinidad and Tobago
PAK,2009,87,Pakistan
QAT,2009,80,Qatar
PER,2009,89,Peru
NAM,2009,63,Namibia
BWA,2009,54,Botswana
ZWE,2009,91,Zimbabwe
NIC,2009,95,Nicaragua
UGA,2009,88,Uganda
CIV,2009,108,Ivory Coast
IRN,2009,111,Iran
BGD,2009,106,Bangladesh
MDG,2009,94,Madagascar
TZA,2009,97,Tanzania
TKM,2009,109,Turkmenistan
ECU,2009,96,Ecuador
VEN,2009,74,Venezuela
TJK,2009,113,Tajikistan
MOZ,2009,114,Mozambique
BOL,2009,104,Bolivia
LAO,2009,105,Laos
GAB,2009,112,Gabon
AZE,2009,117,Azerbaijan
ETH,2009,98,Ethiopia
DZA,2009,99,Algeria
GHA,2009,110,Ghana
MNG,2009,93,Mongolia
MWI,2009,119,Malawi
PNG,2009,122,Papua New Guinea
COG,2009,116,Republic of the Congo
MLI,2009,100,Mali
LBY,2009,115,Libya
MRT,2009,120,Mauritania
YEM,2009,107,Yemen
GIN,2009,121,Guinea
NGA,2009,118,Nigeria
AGO,2009,123,Angola
JPN,2010,1,Japan
DEU,2010,3,Germany
CHE,2010,2,Switzerland
KOR,2010,8,South Korea
SWE,2010,5,Sweden
AUT,2010,4,Austria
CZE,2010,6,Czech Republic
FIN,2010,7,Finland
HUN,2010,11,Hungary
GBR,2010,9,United Kingdom
SVN,2010,12,Slovenia
SVK,2010,13,Slovakia
USA,2010,10,United States
ITA,2010,15,Italy
IRL,2010,16,Ireland
FRA,2010,14,France
CHN,2010,25,China
DNK,2010,17,Denmark
BEL,2010,19,Belgium
MEX,2010,22,Mexico
ISR,2010,18,Israel
NLD,2010,23,Netherlands
EST,2010,29,Estonia
THA,2010,30,Thailand
POL,2010,20,Poland
MYS,2010,35,Malaysia
ROU,2010,28,Romania
ESP,2010,24,Spain
BLR,2010,21,Belarus
HRV,2010,26,Croatia
NOR,2010,34,Norway
LTU,2010,27,Lithuania
LVA,2010,31,Latvia
PRT,2010,32,Portugal
BIH,2010,36,Bosnia and Herzegovina
BGR,2010,38,Bulgaria
CAN,2010,33,Canada
PHL,2010,44,Philippines
TUR,2010,40,Turkey
UKR,2010,39,Ukraine
IND,2010,54,India
GRC,2010,45,Greece
TUN,2010,51,Tunisia
JOR,2010,43,Jordan
NZL,2010,46,New Zealand
RUS,2010,42,Russia
URY,2010,48,Uruguay
SLV,2010,58,El Salvador
CRI,2010,53,Costa Rica
BRA,2010,47,Brazil
ZAF,2010,55,South Africa
IDN,2010,68,Indonesia
LBN,2010,41,Lebanon
VNM,2010,72,Vietnam
MDA,2010,52,Moldova
MUS,2010,59,Mauritius
EGY,2010,69,Egypt
GEO,2010,65,Georgia
COL,2010,49,Colombia
ARG,2010,57,Argentina
DOM,2010,71,Dominican Republic
ARE,2010,56,United Arab Emirates
MKD,2010,63,Macedonia
JAM,2010,60,Jamaica
CHL,2010,64,Chile
GTM,2010,76,Guatemala
LKA,2010,86,Sri Lanka
OMN,2010,73,Oman
KWT,2010,62,Kuwait
SAU,2010,50,Saudi Arabia
HND,2010,92,Honduras
SEN,2010,84,Senegal
PRY,2010,89,Paraguay
MAR,2010,81,Morocco
CUB,2010,80,Cuba
KAZ,2010,87,Kazakhstan
SYR,2010,67,Syria
AUS,2010,74,Australia
KHM,2010,106,Cambodia
ALB,2010,79,Albania
ZMB,2010,96,Zambia
KGZ,2010,82,Kyrgyzstan
UZB,2010,85,Uzbekistan
KEN,2010,75,Kenya
CMR,2010,99,Cameroon
TTO,2010,66,Trinidad and Tobago
PAK,2010,95,Pakistan
QAT,2010,61,Qatar
PER,2010,91,Peru
NAM,2010,70,Namibia
BWA,2010,78,Botswana
ZWE,2010,98,Zimbabwe
NIC,2010,105,Nicaragua
UGA,2010,88,Uganda
CIV,2010,107,Ivory Coast
IRN,2010,77,Iran
BGD,2010,109,Bangladesh
MDG,2010,90,Madagascar
TZA,2010,101,Tanzania
TKM,2010,102,Turkmenistan
ECU,2010,94,Ecuador
VEN,2010,83,Venezuela
TJK,2010,112,Tajikistan
MOZ,2010,120,Mozambique
BOL,2010,97,Bolivia
LAO,2010,108,Laos
